,username,protected,verified,location,followers_count,following_count,tweet_count,listed_count
5416,5416,True,False,,0,48,4,0
5417,5417,False,False,,1,31,0,0
5418,5418,False,False,,0,18,0,0
5419,5419,False,False,,1,99,0,0
5420,5420,False,False,D. F.,60,265,346,0
5421,5421,False,False,,16,494,130,0
5422,5422,False,False,,122,1136,193,1
5423,5423,False,False,,0,42,6,0
5424,5424,True,False,,0,8,0,0
5425,5425,False,False,,1,42,1,0
5426,5426,True,False,,0,60,0,0
5427,5427,False,False,,2,245,1,0
5428,5428,False,False,,0,84,189,0
5429,5429,False,False,,0,66,0,0
5430,5430,True,False,,0,45,0,0
5431,5431,True,False,,0,374,0,0
5432,5432,False,False,México,4,42,355,0
5433,5433,False,False,,0,23,0,0
5434,5434,False,False,,0,36,4,0
5435,5435,False,False,,1,159,119,0
5436,5436,True,False,,0,25,0,0
5437,5437,False,False,,0,53,0,0
5438,5438,True,False,,3,43,30,0
5439,5439,True,False,,0,106,0,0
5440,5440,False,False,,10,99,0,0
5441,5441,False,False,,1,75,0,0
5442,5442,False,False,,2,72,1,0
5443,5443,False,False,,7,118,48,0
5444,5444,False,False,,0,1,0,0
5445,5445,False,False,,0,53,0,0
5446,5446,False,False,,0,41,1,0
5447,5447,False,False,,0,67,0,0
5448,5448,False,False,,0,5,0,0
5449,5449,True,False,,2,101,0,0
5450,5450,False,False,,0,17,0,0
5451,5451,False,False,,1,19,0,0
5452,5452,False,False,,2,75,0,0
5453,5453,False,False,,0,13,0,0
5454,5454,False,False,CdMx,37,415,921,0
5455,5455,False,False,,0,46,0,0
5456,5456,False,False,,45,244,35,0
5457,5457,False,False,,17,26,4,0
5458,5458,False,False,cdmx,3,84,7,0
5459,5459,False,False,,0,2,0,0
5460,5460,False,False,"Ecatepec de Morelos, México",45,264,64,0
5461,5461,True,False,,0,9,0,0
5462,5462,False,False,,0,91,32,0
5463,5463,False,False,,0,106,0,0
5464,5464,False,False,"Juárez, Chihuahua",489,357,3202,0
5465,5465,False,False,,1,78,0,0
5466,5466,True,False,,0,2,0,0
5467,5467,False,False,,0,2,0,0
5468,5468,False,False,,0,19,0,0
5469,5469,False,False,,0,5,18,0
5470,5470,False,False,,0,102,5,0
5471,5471,False,False,,0,107,0,0
5472,5472,False,False,,0,9,0,0
5473,5473,False,False,,0,34,0,0
5474,5474,False,False,,1,76,2,0
5475,5475,False,False,,7,87,27,0
5476,5476,False,False,,0,2,0,0
5477,5477,False,False,,15,61,27,0
5478,5478,False,False,,0,51,0,0
5479,5479,False,False,,0,69,0,0
5480,5480,True,False,"Ecatepec, Edo. México",95,1121,27,0
5481,5481,False,False,,0,55,0,0
5482,5482,False,False,,0,29,1,0
5483,5483,True,False,,46,64,1,0
5484,5484,True,False,"Monterrey, N.L. Mexico",60,1642,1556,1
5485,5485,False,False,,0,25,0,0
5486,5486,False,False,,0,118,6,0
5487,5487,False,False,,35,158,30,0
5488,5488,True,False,,0,14,0,0
5489,5489,False,False,,0,30,0,0
5490,5490,False,False,,0,52,0,0
5491,5491,False,False,,0,23,0,0
5492,5492,False,False,,16,211,44,0
5493,5493,False,False,,0,11,0,0
5494,5494,False,False,,2,41,8,0
5495,5495,True,False,,0,13,0,0
5496,5496,False,False,,0,81,2,0
5497,5497,False,False,,0,25,0,0
5498,5498,False,False,,0,33,0,0
5499,5499,False,False,México,289,492,3135,3
5500,5500,False,False,,2,26,0,0
5501,5501,False,False,,70,206,268,0
5502,5502,True,False,,0,33,0,0
5503,5503,True,False,Mexico,9,55,10,0
5504,5504,True,False,MEXICO,46,751,884,0
5505,5505,False,False,,0,92,90,0
5506,5506,False,False,,0,14,0,0
5507,5507,True,False,,0,17,0,0
5508,5508,False,False,,0,7,6,0
5509,5509,False,False,"Athens, GA",0,26,145,0
5510,5510,False,False,,0,4,0,0
5511,5511,False,False,,0,38,0,0
5512,5512,False,False,,0,16,0,0
5513,5513,False,False,,0,2,0,0
5514,5514,True,False,,0,40,0,0
5515,5515,True,False,,0,21,1,0
5516,5516,True,False,,0,88,0,0
5517,5517,False,False,,0,14,0,0
5518,5518,False,False,,1,83,0,0
5519,5519,False,False,,1,66,0,0
5520,5520,False,False,,1,29,0,0
